"","X","customer_no","Contribution_cont_amt","Contribution_campaign_name","Contribution_cont_dt","Constituency_1","Constituency_2","Constituency_3","Constituency_4","Constituency_5","Constituency_6","Address_postal_code","cont_yr","cont_month","clean_zips","lat","long"
"1",1,3040537,50,"CLd12 Annual Fund","8/20/2001 0:00",NA,NA,NA,NA,NA,NA,"16063-2726",2016,11,15236,40.342869,-79.97929
"2",2,3269382,25,"CLd14 Annual Fund","11/14/2016 0:00","btS",NA,NA,NA,NA,NA,"15090-7902",2012,9,15456,39.923495,-79.66014
"3",3,249878,25,"CLd16 Wine Tasting & Auction","4/16/2001 0:00","bwS",NA,NA,NA,NA,NA,"15142-1127",2015,11,16046,40.695658,-80.03359
"4",4,4065201,100,"CLd13 Annual Fund","1/14/2014 0:00",NA,"clS",NA,NA,NA,NA,"43912-9792",2002,6,15237,40.552768,-80.03227
"5",5,3049479,50,"CLd13 Annual Fund","9/30/2016 0:00","clS","btS",NA,NA,NA,NA,"32137-3373",2009,7,15215,40.497701,-79.9157
"6",6,235707,25,"CLd16 Cerveris Cabaret Event","11/22/2016 0:00",NA,NA,NA,NA,NA,NA,"16232-7445",2003,8,16201,40.809467,-79.49922
"7",7,3014092,25,"CLd13 Annual Fund","11/29/2011 0:00","clS",NA,"opT",NA,NA,NA,"15143-8377",2014,11,15229,40.518368,-80.03364
"8",8,3137472,50,"CLd13 Annual Fund","11/9/1999 0:00","clS",NA,NA,NA,NA,NA,"15145",2014,8,16059,40.702289,-79.93733
"9",9,3538197,100,"CLd05 Annual Fund","3/26/2012 0:00",NA,NA,NA,NA,NA,NA,"14817-9569",2015,8,15217,40.430919,-79.92569
"10",10,196598,25,"CLd05 Annual Fund","12/2/2009 0:00",NA,"clS",NA,NA,NA,NA,"15221-3914",2013,2,15301,40.170663,-80.25185
"11",11,242633,25,"CLd07 Wine Tasting & Auction","7/8/2005 0:00",NA,"clS",NA,NA,NA,NA,"15090-9654",2016,10,16117,40.857663,-80.27534
"12",12,3027359,30,"CLd11 Annual Fund","6/25/2014 0:00","bwS",NA,NA,NA,NA,NA,"15642-8910",2009,3,15226,40.394002,-80.01655
"13",13,49207,100,"CLd13 Annual Fund","7/25/2016 0:00","clS",NA,NA,NA,NA,NA,"16063-3514",2005,4,15084,40.61357,-79.78095
"14",14,3027359,100,"CLd15 Annual Fund","11/3/2014 0:00","clS",NA,NA,NA,NA,NA,"16001-3433",2011,11,15102,40.324535,-80.03864
"15",15,10130,50,"CLd08 Annual Fund","9/25/2015 0:00",NA,NA,NA,NA,NA,NA,"15108-3530",2009,8,16046,40.695658,-80.03359
"16",16,3281865,25,"CLd00 Annual Fund","11/30/2015 0:00",NA,NA,NA,NA,NA,NA,"15241-2404",2011,1,15143,40.561091,-80.15554
"17",17,109444,50,"CLd98 Annual Fund","11/19/2012 0:00",NA,NA,NA,NA,NA,NA,"15042-2677",2012,6,40391,37.98223,-84.17023
"18",18,576620,25,"CLd12 Annual Fund","9/1/2011 0:00",NA,NA,NA,NA,NA,NA,"15238-2325",2014,12,15143,40.561091,-80.15554
"19",19,3006327,50,"CLd11 Annual Fund","4/19/2016 0:00",NA,NA,"btS",NA,NA,NA,"15202-0155",2015,4,15015,40.635147,-80.08369
"20",20,139653,15,"CLd17 Taste for Talent","9/30/2016 0:00","bwS","clS",NA,NA,"ptS",NA,"15601-6754",2008,9,15228,40.372802,-80.0448
"21",21,3496804,25,"CLd Capital Campaign","7/20/2015 0:00",NA,NA,NA,NA,NA,NA,"15116-1926",1999,2,16201,40.809467,-79.49922
"22",22,3515271,35,"CLd14 Annual Fund","12/15/2016 0:00",NA,NA,NA,NA,NA,NA,"15017-3438",2008,5,15108,40.500665,-80.18464
"23",23,3025478,150,"CLd11 Annual Fund","8/18/2009 0:00","ptT",NA,NA,NA,NA,NA,"32763-5009",2016,11,15301,40.170663,-80.25185
"24",24,3377252,25,"CLd17 Annual Fund","8/27/2014 0:00",NA,NA,NA,NA,NA,NA,"15218-1666",2006,9,15137,40.380219,-79.81017
"25",25,3352395,25,"CLd13 Annual Fund","3/5/2013 0:00",NA,"clS",NA,NA,NA,NA,"15644-9675",2013,8,15227,40.377869,-79.97516
"26",26,3279051,25,"CLd16 Annual Fund","11/12/2014 0:00","bwS",NA,NA,"ptT",NA,NA,"15229-3153",2016,7,15222,40.447036,-79.99313
"27",27,3691177,50,"CLd11 Annual Fund","12/31/2012 0:00","btS","poS",NA,NA,NA,NA,"15108-1015",2016,11,34108,26.252711,-81.80825
"28",28,3346418,25,"CLd14 Annual Fund","2/23/2016 0:00","clS",NA,NA,NA,NA,NA,"15301-2950",2014,11,15102,40.324535,-80.03864
"29",29,3290947,10,"CLd10 Annual Fund","7/24/2013 0:00",NA,NA,NA,NA,NA,NA,"15206-2149",2016,11,15085,40.386968,-79.74467
"30",30,3064741,25,"CLd01 Annual Fund","6/23/2008 0:00",NA,NA,"poS",NA,NA,NA,"43952-1109",2001,5,15342,40.241854,-80.21445
"31",31,313382,25,"CLd14 Annual Fund","2/20/2007 0:00","clS","btS",NA,"poS",NA,NA,"43920-1410",2011,10,15005,40.641066,-80.20599
"32",32,202304,5000,"CLd11 Annual Fund","7/12/2011 0:00","bwS",NA,NA,NA,NA,NA,"15221",2016,4,15201,40.471468,-79.95726
"33",33,3897248,300,"CLd07 Annual Fund","6/14/2016 0:00","clS",NA,NA,NA,NA,NA,"15221-3452",2001,7,15012,40.140248,-79.84251
"34",34,56716,25,"CLd13 Annual Fund","5/8/2000 0:00",NA,NA,NA,NA,NA,NA,"15017",2017,5,15102,40.324535,-80.03864
"35",35,390332,250,"CLd16 Annual Fund","11/4/2013 0:00",NA,NA,NA,NA,NA,NA,"15085-1722",2016,6,43953,40.369467,-80.70251
"36",36,3117971,100,"CLd10 Annual Fund","10/11/2002 0:00","clS",NA,NA,NA,NA,NA,"16105-1224",2016,2,44406,41.029666,-80.76396
"37",37,3010183,25,"CLd15 Annual Fund","8/19/2015 0:00","clS","ptT",NA,NA,NA,NA,"15090-1527",2011,4,15139,40.519518,-79.83762
"38",38,21338,50,"CLd14 Annual Fund","2/25/2016 0:00","clS",NA,NA,NA,NA,NA,"22734-2005",2016,5,15220,40.430822,-80.04453
"39",39,125239,25,"CLd16 Annual Fund","11/19/2015 0:00",NA,"clS","btS",NA,NA,NA,"15202-2608",2016,9,15143,40.561091,-80.15554
"40",40,3354397,25,"CLd09 Academy","6/27/2016 0:00",NA,"ptS",NA,NA,NA,NA,"15241-3912",2014,3,15213,40.443269,-79.95487
"41",41,3889484,25,"CLd14 Annual Fund","10/1/2001 0:00",NA,"btS",NA,NA,NA,NA,"15214-1542",2012,7,15211,40.428369,-80.01269
"42",42,106129,25,"CLd12 Annual Fund","6/25/2014 0:00","ptT",NA,NA,NA,NA,NA,"15221-3218",2010,9,15237,40.552768,-80.03227
"43",43,3303325,25,"CLd08 Annual Fund","6/30/2016 0:00","clS",NA,"ptS",NA,NA,NA,"15139-0149",2016,11,15642,40.325902,-79.71324
"44",44,157512,15,"CLd16 Annual Fund","8/25/2001 0:00","clS",NA,NA,NA,NA,NA,"27932-2020",2015,7,15238,40.518701,-79.86744
"45",45,635529,25,"CLd17 Annual Fund","3/4/2016 0:00",NA,"ptS","poS",NA,NA,NA,"15137-1912",2007,2,15317,40.26819,-80.16222
"46",46,156979,100,"CLd14 Annual Fund","3/4/2016 0:00","clS",NA,NA,NA,NA,NA,"15477-0571",2013,7,15205,40.436618,-80.07289
"47",47,4054734,250,"CLd15 Wine Tasting & Auction","4/10/2013 0:00",NA,NA,NA,NA,NA,NA,"15220-2607",2016,6,15074,40.708166,-80.2735
"48",48,634524,10,"CLd15 Academy Fund","4/25/2014 0:00",NA,NA,NA,NA,NA,NA,"15102-3048",2016,8,15234,40.369619,-80.01831
"49",49,284831,50,"CLd13 Annual Fund","6/16/2015 0:00",NA,"opT","opT",NA,NA,NA,"15229-1446",2015,8,15222,40.447036,-79.99313
"50",50,3054476,25,"CLd05 Annual Fund","11/5/2003 0:00","clS",NA,NA,NA,NA,NA,"15116-1026",2016,12,15552,39.805436,-79.00013
"51",51,3080836,25,"CLd08 Wine Tasting & Auction","2/4/2014 0:00","clS",NA,NA,NA,NA,NA,"15044-6098",2012,8,15120,40.395336,-79.90635
"52",52,185808,100,"CLd11 Annual Fund","3/4/2016 0:00","clS",NA,NA,NA,NA,NA,"15229-1786",2011,9,15208,40.455168,-79.89709
"53",53,3234980,42,"CLd16 Annual Fund","11/4/2002 0:00","clS",NA,NA,NA,NA,NA,"15068-3368",2016,8,15601,40.298765,-79.54126
"54",54,3637845,100,"CLd16 Annual Fund","8/24/2007 0:00",NA,NA,NA,NA,NA,NA,"15090-9699",2013,7,15102,40.324535,-80.03864
"55",55,55334,25,"CLd17 Annual Fund","5/18/2015 0:00",NA,"clS",NA,NA,NA,NA,"15063-3701",2007,9,15209,40.492618,-79.97458
"56",56,3633153,250,"CLd02 Annual Fund","9/30/2013 0:00",NA,NA,NA,NA,NA,NA,"15215-1336",2012,7,15120,40.395336,-79.90635
"57",57,50147,100,"CLd16 Annual Fund","12/21/2012 0:00","btT",NA,NA,NA,NA,NA,"15101-3105",2012,4,15001,40.603966,-80.28776
"58",58,3008616,100,"CLd14 Wine Tasting & Auction","4/23/2002 0:00",NA,"ptT",NA,NA,NA,NA,"15211-1311",2010,6,15239,40.482655,-79.74278
"59",59,3002427,180,"CLd10 Annual Fund","7/24/2013 0:00",NA,NA,NA,NA,NA,NA,"23322-8641",2005,2,15601,40.298765,-79.54126
"60",60,3383471,1000,"CLd13 Annual Fund","11/28/2016 0:00",NA,NA,NA,NA,NA,NA,"15101-1706",2007,9,15139,40.519518,-79.83762
"61",61,195017,25,"CLd16 Annual Fund","11/8/2011 0:00","poS",NA,NA,NA,NA,NA,"15147-1929",2012,11,15222,40.447036,-79.99313
"62",62,3297431,25,"CLd01 Annual Fund","8/15/2002 0:00","bwS",NA,NA,NA,NA,NA,"16052-0256",2013,4,15239,40.482655,-79.74278
"63",63,3411318,25,"CLd16 Wine Tasting & Auction","10/23/2014 0:00",NA,NA,"ptS",NA,NA,NA,"32168-7964",2014,4,43912,40.074284,-80.77447
"64",64,3037095,525,"CLd12 Annual Fund","8/21/2012 0:00",NA,NA,NA,NA,NA,NA,"15301-8109",2007,2,15017,40.351802,-80.11534
"65",65,3198657,25,"CLd12 Annual Fund","3/27/2001 0:00","poS",NA,NA,NA,NA,NA,"15241-3602",2011,9,15904,40.289442,-78.86612
"66",66,3835219,800,"CLd13 Annual Fund","11/20/2015 0:00",NA,NA,NA,NA,NA,NA,"16120-2724",2000,2,15243,40.372669,-80.0712
"67",67,3616074,57.5,"CLd16 Annual Fund","9/12/2012 0:00",NA,NA,NA,"ptS",NA,NA,"15217-1913",2012,5,15049,40.555627,-79.8064
"68",68,294482,275,"CLd12 Annual Fund","8/28/2013 0:00","bwS",NA,NA,NA,NA,NA,"15102-2057",2010,9,15239,40.482655,-79.74278
"69",69,3550791,150,"CLd10 Annual Fund","11/30/2015 0:00",NA,"clS",NA,NA,NA,NA,"16063-3514",2015,3,16057,41.047157,-80.05506
"70",70,3547993,25,"CLd16 Annual Fund","6/14/2013 0:00",NA,NA,NA,NA,NA,NA,"16059-3915",2015,3,15201,40.471468,-79.95726
"71",71,3917038,13,"CLd16 Annual Fund","7/5/2013 0:00","clS",NA,NA,NA,NA,NA,"15222-3504",2016,5,15229,40.518368,-80.03364
"72",72,3884133,500,"CLd16 Annual Fund","1/17/2014 0:00",NA,NA,NA,NA,NA,NA,"15229-1786",2009,9,15215,40.497701,-79.9157
"73",73,3990041,25,"CLd10 Annual Fund","4/5/2013 0:00","bwS",NA,NA,NA,NA,NA,"15670-0380",2015,9,15632,40.430632,-79.61837
