"","total_cont","total_cust","zip_code","lat","long"
"1",410,6,NA,NA,NA
"2",850,3,0,NA,NA
"3",10,1,1720,42.477142,-71.4422
"4",650,4,1845,42.683841,-71.11171
"5",50,2,1921,42.677869,-71.00844
"6",25,1,2026,42.244609,-71.16553
"7",6440,6,2111,42.349838,-71.06101
"8",25,1,2113,42.365028,-71.05636
"9",175,4,2139,42.364347,-71.10431
"10",230,2,2140,42.393327,-71.12837
"11",100,1,2151,42.416247,-71.00525
"12",400,2,2155,42.419846,-71.10942
"13",25,3,2446,42.344747,-71.12141
"14",950,5,2903,41.8208,-71.41306
"15",10,1,3053,42.880481,-71.38205
"16",25,1,3116,NA,NA
"17",25,1,3908,43.234782,-70.77876
"18",100,2,4071,43.917206,-70.47233
"19",25,1,6010,41.682249,-72.93365
"20",50,2,6029,41.909147,-72.45026
"21",25,1,6040,41.778888,-72.52384
"22",25,1,6071,41.995851,-72.45336
"23",25,1,6232,41.737015,-72.37151
"24",50,2,6235,41.809166,-72.11274
"25",75,1,6241,41.850225,-71.85749
"26",25,1,6247,41.767929,-72.06127
"27",25,1,6410,41.507049,-72.90489
"28",250,5,6492,41.457711,-72.81704
"29",25,1,6830,41.03073,-73.62985
"30",25,1,6851,41.134896,-73.4053
"31",25,1,6897,41.201446,-73.43758
"32",20,1,6903,41.132096,-73.56423
"33",50,2,7030,40.744851,-74.03294
"34",25,1,7208,40.673102,-74.22834
"35",500,2,7419,41.156187,-74.57094
"36",75,1,7740,40.297932,-73.99097
"37",50,2,7823,40.82383,-75.04585
"38",50,1,7922,40.675112,-74.43459
"39",135,3,8012,39.784614,-75.05678
"40",25,1,8077,39.997379,-74.99805
"41",25,1,8230,39.20877,-74.70438
"42",100,1,8520,40.262809,-74.53246
"43",6250,13,8648,40.276782,-74.72951
"44",500,1,8822,40.515645,-74.85319
"45",100,1,8857,40.397507,-74.3298
"46",25,1,10000,NA,NA
"47",25,1,10013,40.720666,-74.00526
"48",100,1,10019,40.765714,-73.9856
"49",175,6,10024,40.786387,-73.97709
"50",100,1,10028,40.776777,-73.9541
"51",25,1,10128,40.781894,-73.95039
"52",8.5,1,11103,40.762968,-73.91091
"53",25,1,11203,40.649059,-73.93304
"54",25,1,11223,40.598142,-73.97229
"55",25,1,11400,NA,NA
"56",25,1,11545,40.823957,-73.60415
"57",10,1,11720,40.868946,-73.08009
"58",25,1,11777,40.946103,-73.06222
"59",150,6,11804,40.765378,-73.45781
"60",35,1,12312,NA,NA
"61",25,1,13413,43.067169,-75.28767
"62",50,1,14226,42.968057,-78.80047
"63",80,5,14424,42.85297,-77.29466
"64",5,1,14534,43.071131,-77.51181
"65",100,1,14817,42.368,-76.35407
"66",9011,100,15001,40.603966,-80.28776
"67",2036,48,15003,40.593917,-80.22181
"68",50,2,15004,40.341487,-80.38408
"69",1800.71,40,15005,40.641066,-80.20599
"70",25,1,15006,40.630894,-79.88057
"71",1355,16,15007,40.652311,-79.93303
"72",4565,70,15009,40.695281,-80.3299
"73",5334.5,88,15010,40.763899,-80.33572
"74",6079.5,90,15012,40.140248,-79.84251
"75",1890,15,15014,40.608403,-79.74234
"76",1895,32,15015,40.635147,-80.08369
"77",12674.75,128,15017,40.351802,-80.11534
"78",200,6,15019,40.417545,-80.33625
"79",2210,46,15021,40.383884,-80.41364
"80",3400,37,15022,40.136537,-79.91321
"81",14304.25,75,15024,40.569723,-79.83242
"82",30618,144,15025,40.292974,-79.90179
"83",3660,26,15026,40.508376,-80.35953
"84",285,5,15027,40.663816,-80.23494
"85",50,2,15030,40.583218,-79.77947
"86",1230,25,15033,40.176375,-79.86138
"87",25,1,15035,40.384223,-79.80792
"88",7978.5,61,15037,40.258438,-79.85946
"89",100,2,15038,40.251586,-79.92474
"90",4673.25,75,15042,40.682566,-80.23208
"91",1069.96,11,15043,40.582316,-80.50182
"92",118012.42,498,15044,40.631011,-79.95766
"93",115,5,15045,40.326919,-79.88869
"94",300,3,15046,40.558477,-80.2261
"95",50,2,15049,40.555627,-79.8064
"96",425,11,15050,40.557889,-80.44529
"97",25,1,15051,40.565907,-79.85848
"98",210,2,15053,40.379884,-80.36087
"99",2136,23,15055,40.304019,-80.12246
"100",40,2,15056,40.565367,-80.20977
"101",5656,66,15057,40.357286,-80.23629
"102",50,2,15059,40.649081,-80.47218
"103",530,17,15060,40.368154,-80.2924
"104",5190,37,15061,40.677132,-80.28881
"105",50,1,15062,40.154271,-79.88277
"106",12805,68,15063,40.196694,-79.92642
"107",8040,67,15065,40.628522,-79.72566
"108",2330,40,15066,40.73998,-80.29472
"109",700,9,15067,40.207526,-79.95304
"110",16434.75,165,15068,40.571108,-79.74226
"111",8400,101,15071,40.420319,-80.18692
"112",545,20,15074,40.708166,-80.2735
"113",4306,45,15084,40.61357,-79.78095
"114",2917.5,45,15085,40.386968,-79.74467
"115",10,1,15086,40.661431,-80.09304
"116",1180,15,15089,40.211895,-79.75483
"117",79070.01,489,15090,40.617016,-80.05916
"118",46839.43,444,15101,40.570915,-79.96033
"119",22695.39,319,15102,40.324535,-80.03864
"120",250,4,15104,40.404743,-79.86439
"121",18982.5,170,15106,40.404119,-80.09014
"122",36739,343,15108,40.500665,-80.18464
"123",530,16,15110,40.369969,-79.85095
"124",125,5,15112,40.399436,-79.83794
"125",16404.98,141,15116,40.533806,-79.96303
"126",6678,95,15120,40.395336,-79.90635
"127",2111,62,15122,40.366177,-79.89418
"128",2958,42,15126,40.454423,-80.26324
"129",200,5,15127,40.434436,-80.024817
"130",7810,96,15129,40.289752,-80.00756
"131",2485,40,15131,40.341469,-79.81105
"132",2110,29,15132,40.341919,-79.84791
"133",2356.25,34,15133,40.332502,-79.8646
"134",3760,26,15134,40.434436,-80.024817
"135",355,10,15135,40.306819,-79.8145
"136",49651.5,177,15136,40.471618,-80.07695
"137",7150,134,15137,40.380219,-79.81017
"138",20231,145,15139,40.519518,-79.83762
"139",16660,84,15142,40.379549,-80.12451
"140",211558.29,648,15143,40.561091,-80.15554
"141",2455,22,15144,40.543053,-79.78223
"142",1795,26,15145,40.408218,-79.82339
"143",31537.06,238,15146,40.431034,-79.76526
"144",31790.5,254,15147,40.498218,-79.83426
"145",6745,99,15201,40.471468,-79.95726
"146",40040.14,261,15202,40.502918,-80.0704
"147",4619,59,15203,40.426211,-79.97826
"148",1216.5,36,15204,40.455118,-80.06008
"149",16072.25,178,15205,40.436618,-80.07289
"150",46616,224,15206,40.468968,-79.91863
"151",1290.5,32,15207,40.399355,-79.93414
"152",12136,95,15208,40.455168,-79.89709
"153",8904.5,91,15209,40.492618,-79.97458
"154",5043.5,93,15210,40.409219,-79.98948
"155",40998.25,159,15211,40.428369,-80.01269
"156",68823.69,198,15212,40.460669,-80.01144
"157",67709.42,232,15213,40.443269,-79.95487
"158",2363,43,15214,40.479469,-80.0115
"159",121369.98,328,15215,40.497701,-79.9157
"160",15778.5,225,15216,40.400319,-80.03566
"161",57082.66,479,15217,40.430919,-79.92569
"162",7518.3,119,15218,40.424336,-79.88725
"163",8715,63,15219,40.443819,-79.98067
"164",14638.14,198,15220,40.430822,-80.04453
"165",14132,218,15221,40.438035,-79.87191
"166",3487539.36,530,15222,40.447036,-79.99313
"167",5130.5,46,15223,40.503768,-79.95164
"168",2220,54,15224,40.463463,-79.94612
"169",56.5,4,15225,40.513778,-80.13571
"170",6607.36,111,15226,40.394002,-80.01655
"171",10791.25,194,15227,40.377869,-79.97516
"172",108008.3,389,15228,40.372802,-80.0448
"173",43809,221,15229,40.518368,-80.03364
"174",91679.06,245,15232,40.454018,-79.9325
"175",820,14,15233,40.455919,-80.02604
"176",8542.5,117,15234,40.369619,-80.01831
"177",32479.85,230,15235,40.459518,-79.83277
"178",35458.33,345,15236,40.342869,-79.97929
"179",76375.5,694,15237,40.552768,-80.03227
"180",97558.37,453,15238,40.518701,-79.86744
"181",16097.5,194,15239,40.482655,-79.74278
"182",56416.75,469,15241,40.329619,-80.07364
"183",255800.5,368,15243,40.372669,-80.0712
"184",112500,11,15272,40.434436,-80.024817
"185",36347.5,277,15301,40.170663,-80.25185
"186",5675,13,15312,40.264217,-80.44199
"187",520,9,15314,40.127951,-80.01226
"188",87881.75,473,15317,40.26819,-80.16222
"189",720,12,15320,39.883336,-79.98393
"190",475,6,15321,40.322872,-80.18745
"191",325,11,15323,40.114204,-80.40715
"192",4160,64,15330,40.178679,-80.10014
"193",4172.12,52,15332,40.250299,-79.99436
"194",408,6,15333,40.010135,-80.00537
"195",500,8,15338,39.809161,-79.93793
"196",1690,21,15340,40.290375,-80.31845
"197",1642,25,15342,40.241854,-80.21445
"198",50,1,15345,40.019657,-80.10273
"199",35,1,15346,39.935562,-80.07248
"200",100,1,15347,40.214331,-80.22872
"201",125,3,15357,39.942802,-79.99612
"202",275,7,15358,40.05604,-79.9981
"203",25,1,15360,40.08708,-80.07316
"204",1040,18,15366,40.110068,-80.031787
"205",19731.25,78,15367,40.261394,-80.05254
"206",3877,49,15370,39.892235,-80.17983
"207",3575,43,15401,39.89822,-79.7311
"208",25,1,15410,39.918848,-79.90832
"209",750,8,15411,39.751296,-79.35113
"210",85,3,15412,40.100345,-79.846
"211",865,26,15417,40.01933,-79.89869
"212",2001,33,15419,40.063977,-79.89261
"213",25,1,15421,39.845088,-79.599126
"214",200,5,15423,40.082073,-79.91911
"215",1900,18,15425,40.024138,-79.58414
"216",120,2,15428,40.060912,-79.65886
"217",50,2,15431,39.968368,-79.61815
"218",1075,8,15432,40.117368,-79.86413
"219",10,1,15438,40.093982,-79.83787
"220",25,1,15440,39.72974,-79.59124
"221",140,5,15442,40.013397,-79.83113
"222",50,1,15450,40.00666,-79.96943
"223",1200,21,15456,39.923495,-79.66014
"224",5,1,15458,39.879185,-79.8618
"225",25,1,15461,39.847077,-79.90196
"226",420,11,15463,39.882521,-79.833585
"227",35370,20,15465,39.932084,-79.65217
"228",130,6,15467,39.932084,-79.65217
"229",5.5,1,15470,39.854144,-79.52989
"230",1200,20,15473,40.080727,-79.75697
"231",245,9,15474,39.74419,-79.90126
"232",25,1,15475,39.964486,-79.87846
"233",1035.5,23,15477,40.079169,-79.86448
"234",525,7,15479,40.148576,-79.72573
"235",700,15,15482,40.062849,-79.76338
"236",250,1,15486,40.034355,-79.6819
"237",2048,31,15501,40.02847,-79.1105
"238",2446,34,15522,39.998096,-78.52204
